:START_ID,:END_ID,:TYPE
e1905,e738,出现
e1134,e1023,是
e209,e502,集中在
e209,e1914,搜救
e1394,e2140,发生
e294,e1023,造成
e1478,e1632,发生
e31,e1634,强调
e1040,e1260,发生
e2223,e1901,出现
e1879,e1466,拉响
e2268,e1901,发生
e1338,e1901,发生
e1075,e499,介绍
e2306,e926,组织
e970,e499,冒
e294,e1799,致
e209,e537,调拨
e348,e537,参与
e1901,e185,致
e2306,e1914,组织
e2223,e1901,普降大到
e364,e1901,润别立
e188,e2175,反映
e592,e343,参与
e921,e933,获悉
e2306,e445,采取
e2103,e1453,选调
e1047,e412,组织
e2306,e375,加大
e294,e2335,导致
e2092,e1526,采取
e2223,e1215,出现
e1748,e185,导致
e921,e590,获悉
e508,e1906,率领
e1914,e1673,冲进
e1901,e156,致
e2351,e715,出现
e921,e773,了解到
e167,e1901,发生
e2103,e1880,预计
e1715,e2182,冲进
e592,e1120,进行
e599,e1431,位于
e546,e1357,调拨
e1552,e47,超过
e2306,e1901,预计
e1939,e2381,到
e1902,e156,致
e1939,e1896,有
e546,e2357,执行
e1610,e2016,发生
e1495,e1103,做客
e2223,e1901,发生
e625,e1261,参与
e167,e1215,有
e1552,e1723,位于
e964,e2368,造成
e921,e1348,获悉
e921,e1963,获悉
e921,e2171,了解到
e67,e1901,发生
e78,e2082,执行
e1017,e1173,表示
e167,e1215,出现
e921,e1491,了解到
e1748,e537,调拨
e2090,e989,了解
e736,e1314,出现
e921,e1600,获悉
e1826,e161,有
e2223,e1901,出现
e827,e369,至
e2306,e181,选调
e1368,e1990,加大
e636,e911,称
e665,e783,有
e888,e1789,介绍
e1849,e914,造成
e546,e619,冲进
e1939,e2259,开展
e1641,e1114,称
e1901,e1901,到
e1134,e1123,超过
e1760,e738,发生
e257,e738,出现
e1286,e47,得到
e1018,e467,达到
e2306,e203,配合
e2270,e2271,导致
e2223,e1215,出现
e964,e1074,发生
e1552,e1723,在
e843,e499,发生
e209,e750,813
e1879,e823,进行
e1237,e138,包括
e1914,e1914,位于
e1877,e2049,主持
e921,e2330,了解
e1892,e564,位于
e644,e2163,遭到
e1641,e1466,执行
e1901,e750,造成
e1914,e203,加大
e1570,e2352,是
e1764,e268,显示
e964,e1866,发生
e337,e1901,导致
e1432,e2163,受到
e1879,e738,出现
e740,e1725,预计
e921,e1033,获悉
e2106,e499,针对
e1303,e838,出现
e1715,e1850,超过
e736,e948,集中在
e1914,e271,冲进
e2223,e2016,有
e1901,e747,致
e2223,e1311,位于
e2073,e1996,冲进
e315,e1901,发生
e617,e948,出现
e1337,e358,出现
e2306,e1378,介绍
e242,e432,致
e1349,e47,得到
e1748,e2163,发生
e2324,e47,是
e1502,e1005,赴
e1901,e1987,破坏
e1657,e1201,包括
e736,e743,执行
e2066,e2140,出现
e1901,e1088,带来
e768,e1901,发生
e87,e1901,导致
e1134,e1814,破坏
e822,e785,致
e738,e948,做客
e2106,e499,发生
e1338,e1901,发生
e1984,e154,在
e1901,e2176,导致
e1879,e1901,发生
e1605,e106,受
e2306,e1526,采取
e741,e1102,导致
e1542,e1901,发生
e2363,e101,冲进
e665,e300,获悉
e2106,e1139,执行
e1610,e585,发生
e383,e1350,发生
e2223,e1350,出现
e2034,e59,介绍
e736,e660,中
e1901,e1417,造成
e257,e1215,出现
e674,e551,位于
e655,e869,发生
e1315,e823,参与
e1502,e1632,赴
e736,e473,面临
e1542,e2163,造成
e190,e934,受
e1879,e1215,出现
e256,e1901,发生
e389,e2340,需
e921,e590,获悉
e2106,e1583,获悉
e202,e738,出现
e738,e1292,导致
e740,e1873,预计
e336,e1350,导致
e921,e635,获悉
e710,e1901,发生
e337,e462,造成
e1019,e1350,发生
e1748,e743,执行
e634,e1822,造成
e653,e1350,导致
e1289,e2071,为
e2306,e462,关注
e2223,e1215,预计
e108,e571,表示
e1796,e358,发生
e242,e1901,发生
e301,e1901,出现
e2106,e2346,执行
e1100,e724,位于
e1264,e1146,预计
e620,e185,执行
e1512,e1901,发生
e1049,e1901,冲进
e2236,e1906,开展
e1488,e218,参与
e1939,e2071,发生
e1461,e1107,包括
e1901,e1350,造成
e1447,e499,出现
e1999,e959,位于
e583,e1901,发生
e352,e1600,于
e1030,e2217,执行
e301,e1215,配合
e274,e1382,位于
e1901,e1350,造成
e843,e1901,导致
e921,e1901,冲进
e1856,e1899,超过
e1030,e2259,参与
e2161,e2205,赴
e1760,e1901,发生
e2068,e1176,称
e301,e1901,发生
e2223,e660,有
e1901,e1201,集中在
e1221,e1006,超过
e1966,e1261,亮说
e1939,e1314,有
e1000,e537,调拨
